,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter sp. 24S4-2;,0,0.029394,0,0,0.054481,0.447094,0,0,0,0,0.384615,1.927955,0,0.365230,1.412732,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis;,0,0,0.537634,0.251397,0,0,0.140845,0,0,0,0,0,0,0,0.107296,0.391645,0.478142,0
Bacteria;Firmicutes;Clostridia;Clostridiales;NA;NA;Clostridiales bacterium;,0,0,0.537634,0,0.449469,0,0,0,0,0.081599,0,0,0,0.766983,0,0,0,0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus atrophaeus;,0,0,0.418160,0,0.258785,0,0,0,0,0.040800,0,0,0,0.657414,0,0,0,0
Bacteria;NA;NA;NA;NA;NA;bacterium 1xD42-87;,0,0,0.418160,0.027933,0.531190,0,0,0,0,0.081599,0,0,0.092166,0.766983,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Faecalibacterium sp. An77;,0,0,0.298686,0,0.245165,0,0.023474,0,0,0.020400,0,0,0,0.255661,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium oryzae;,0,0,0.238949,0,0.340507,0,0.023474,0,0,0,0,0,0,0.146092,0,0,0,0
Bacteria;NA;NA;NA;NA;NA;uncultured bacterium Contig115;,0,0,0.179211,0.055866,0.313266,0,0,0,0,0.020400,0.042735,0,0,0.146092,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea;Dorea sp. 5-2;,0,0,0.119474,0.307263,0.013620,0,0,0,0,0,0.085470,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;Lachnospiraceae bacterium TWA4;,0,0,0.119474,0.558659,0.040861,0,0,0,0,0.061200,0.085470,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides nordii;,0,0,0.059737,0.027933,0.040861,0.372578,0.046948,0.037092,0.099404,0.795594,0.042735,0.050736,0.046083,0,0.017883,0.018650,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoanaerobaculum;Lachnoanaerobaculum sp.;,0,0,0.059737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus sp. AF41-9;,0,0,0.059737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonamonadaceae;Dysgonomonas;Dysgonomonas sp. 511;,0,0,0.059737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides sp. CH2-D42-20;,0,0,0.059737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083472
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;Muribaculaceae bacterium;,0,0,0.059737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. NM69_E16B;,0,0,0.059737,0,0,0,0,0.111276,0,0.244798,0.042735,0,0,0,0,0.027975,0,0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Marinoscillum;Marinoscillum sp. 108;,0,0,0.059737,0,0,0,0,0,0,0.020400,0,0,0,0,0,0,0,0
Bacteria;NA;NA;NA;NA;NA;bacterium 0.1xD8-82;,0,0,0,0.363128,0.108962,0,0,0,0,0,0.170940,0,0.138249,0.182615,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;Eubacterium plexicaudatum;,0,0,0,0.307263,0.095342,0,0,0,0,0.081599,0.170940,0,0,0.073046,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella histicola;,0,0,0,0.307263,0.013620,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;NA;NA;NA;NA;NA;bacterium 1xD42-62;,0,0,0,0.251397,0.040861,0,0,0,0,0,0.042735,0,0,0.073046,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor;Acetatifactor muris;,0,0,0,0.139665,0,0,0,0,0,0.020400,0,0,0.092166,0,0,0,0,0
Bacteria;NA;NA;NA;NA;NA;bacterium D16-50;,0,0,0,0.139665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;Pedobacter glucosidilyticus;,0,0,0,0.111732,0,0,0,0,0,0,0,0,0.046083,0,0,0,0.034153,0
