"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W20","S.W36","S.W37"
"71","Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;NA;NA;","0.005918","0.004366","0.006205","0.004384","0.005744","0.010615","0.006294","0.004564","0.004087","0.002866","0.004234","0.004381","0.004454","0.003891","0.009242","0.001728","0.004069","0.008736"
"72","Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;NA;NA;","0.005698","0.006487","0.006108","0.007563","0.007167","0.00327","0.004618","0.007646","0.011729","0.00708","0.006104","0.006","0.004317","0.008386","0.003291","0.003541","0.012404","0.0122"
"73","Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;NA;NA;","0.005451","0.003753","0.003713","0.00484","0.003027","0.003045","0.00382","0.003535","0.003007","0.002508","0.003143","0.004462","0.004899","0.003774","0.003634","0.001372","0.002634","0.002951"
"74","Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;NA;NA;","0.005416","0.005238","0.005263","0.007604","0.006465","0.003195","0.013599","0.010519","0.006362","0.00698","0.007206","0.004772","0.004986","0.006983","0.004127","0.00806","0.010445","0.00956"
"75","Bacteria;Firmicutes;Clostridia;Clostridiales;Heliobacteriaceae;NA;NA;","0.004937","0.004885","0.004602","0.004683","0.002891","0.005516","0.002724","0.004432","0.003512","0.002644","0.004566","0.004896","0.005824","0.004126","0.005694","0.002047","0.002235","0.002772"
"76","Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;NA;NA;","0.004745","0.006563","0.005325","0.005358","0.005821","0.004133","0.003702","0.004238","0.003834","0.004892","0.004272","0.00634","0.006273","0.004817","0.00734","0.001244","0.002653","0.00257"
"77","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;NA;NA;","0.004689","0.004908","0.003534","0.004481","0.003379","0.003252","0.003324","0.005923","0.004811","0.003897","0.004748","0.005395","0.003651","0.003351","0.002618","0.002097","0.004445","0.004557"
"78","Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;NA;NA;","0.004659","0.004324","0.004681","0.005783","0.005437","0.005465","0.006217","0.036746","0.010298","0.006934","0.005021","0.004896","0.004803","0.008356","0.004602","0.003131","0.005923","0.004613"
"79","Bacteria;Firmicutes;Clostridia;Clostridiales;Defluviitaleaceae;NA;NA;","0.004629","0.023171","0.003862","0.003631","0.003132","0.018033","0.002228","0.001917","0.001821","0.002476","0.003293","0.004787","0.004547","0.002907","0.029176","0.000569","0.001359","0.001358"
"80","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;NA;NA;","0.004263","0.004521","0.005189","0.00762","0.007115","0.003934","0.004827","0.008186","0.005336","0.004997","0.005454","0.00377","0.00421","0.007845","0.003033","0.005556","0.007374","0.006072"
"81","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;NA;NA;","0.004259","0.003172","0.005841","0.004579","0.004537","0.004661","0.011213","0.011483","0.012966","0.003416","0.00457","0.003081","0.003414","0.004281","0.003186","0.011078","0.009077","0.008083"
"82","Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacterales Family III. Incertae Sedis;NA;NA;","0.003655","0.00461","0.004322","0.004146","0.002802","0.004799","0.002092","0.001951","0.003121","0.003313","0.004437","0.003325","0.004029","0.003502","0.005632","0.000634","0.00193","0.00125"
