"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W20","S.W36","S.W37"
"71","Bacteria;Rhodothermaeota;NA;NA;NA;NA;NA;","0.000259","0.000375","0.000416","0.001162","0.000394","0.000195","0.000353","0.000468","0.000365","0.000294","0.00051","0.00043","0.000427","0.000377","0.000201","4.7e-05","0.000572","0.000517"
"72","Bacteria;Candidatus Poribacteria;NA;NA;NA;NA;NA;","0.000245","0.000409","0.000307","0.000397","0.000442","0.000129","0.00039","0.000231","0.000228","9.8e-05","0.000266","0.000349","0.000222","0.000172","0.000137","0.000103","0.000691","0.000426"
"73","Bacteria;Candidatus Uhrbacteria;NA;NA;NA;NA;NA;","0.000234","0.000312","0.000285","0.000318","0.00024","0.000145","0.000287","0.001202","0.000299","0.00024","0.000311","0.000253","0.000284","0.000201","7e-05","1e-04","0.000376","0.000384"
"74","Bacteria;Candidatus Tectomicrobia;NA;NA;NA;NA;NA;","0.000231","0.000961","0.000315","0.000162","0.000466","0.000961","0.00036","0.000191","0.000667","0.000185","0.000269","0.000178","0.000165","0.000737","0.001395","0.000113","0.000154","0.000751"
"75","Eukaryota;Heterolobosea;NA;NA;NA;NA;NA;","0.000229","0.000395","0.000486","0.000159","0.000178","7.7e-05","0.000173","7.1e-05","6.8e-05","4.1e-05","0.000143","0.000292","2.4e-05","0.000427","0.00011","3.4e-05","4.8e-05","2.4e-05"
"76","Bacteria;Candidatus Kapabacteria;NA;NA;NA;NA;NA;","0.000229","0.000107","0.000188","0.000266","0.000579","9.6e-05","9.9e-05","0.000136","0.000171","0.000265","0.000339","9.6e-05","0.000104","0.000142","6.7e-05","3.1e-05","0.000206","0.000126"
"77","Bacteria;Candidatus Bipolaricaulota;NA;NA;NA;NA;NA;","0.000227","0.000128","0.000271","0.000459","0.000191","0.000188","0.000265","0.000502","0.000359","0.000153","0.000273","0.000193","0.000173","0.000247","0.00011","2.8e-05","0.000199","0.000339"
"78","Bacteria;Candidatus Doudnabacteria;NA;NA;NA;NA;NA;","0.000227","8.1e-05","0.00028","0.000216","5.8e-05","6.6e-05","0.000121","0.000259","0.000268","8e-05","0.000199","0.000226","0.000367","0.000172","0.000266","4.4e-05","0.000193","9.1e-05"
"79","Bacteria;Candidatus Cryosericota;NA;NA;NA;NA;NA;","0.000227","0.000296","0.00014","0.000266","0.000217","0.000244","0.000217","0.000179","0.00045","0.000144","0.000161","0.000283","0.000243","0.000168","0.000185","5.6e-05","0.000161","0.000398"
"80","Bacteria;Candidatus Falkowbacteria;NA;NA;NA;NA;NA;","0.00022","0.000288","0.000591","0.000316","0.000259","0.000159","0.000452","0.000989","0.000393","0.000278","0.000339","0.000361","0.000361","0.000364","0.000169","0.000119","0.000382","0.000339"
